nombreGas,TipoTrafico,Modo,year,valor,Textbox4,Textbox6,Textbox9
Dióxido de carbono,Nacional,Carretera,2012,72.555.442,Subtotal nacional,78.283.356,118.623.226
Dióxido de carbono,Nacional,Carretera,2013,74.834.247,Subtotal nacional,79.066.571,115.751.029
Dióxido de carbono,Nacional,Carretera,2014,75.702.044,Subtotal nacional,79.348.118,118.484.198
Dióxido de carbono,Nacional,Carretera,2015,78.381.428,Subtotal nacional,82.453.282,120.927.707
Dióxido de carbono,Nacional,Carretera,2016,80.438.036,Subtotal nacional,85.255.571,125.597.390
Dióxido de carbono,Nacional,Carretera,2017,81.791.182,Subtotal nacional,87.873.636,126.750.544
Dióxido de carbono,Nacional,Carretera,2018,82.663.295,Subtotal nacional,89.068.094,129.918.991
Dióxido de carbono,Nacional,Carretera,2019,83.513.559,Subtotal nacional,90.170.016,132.077.499
Dióxido de carbono,Nacional,Ferrocarril,2012,258.295,Subtotal nacional,78.283.356,118.623.226
Dióxido de carbono,Nacional,Ferrocarril,2013,243.278,Subtotal nacional,79.066.571,115.751.029
Dióxido de carbono,Nacional,Ferrocarril,2014,247.512,Subtotal nacional,79.348.118,118.484.198
Dióxido de carbono,Nacional,Ferrocarril,2015,244.183,Subtotal nacional,82.453.282,120.927.707
Dióxido de carbono,Nacional,Ferrocarril,2016,233.547,Subtotal nacional,85.255.571,125.597.390
Dióxido de carbono,Nacional,Ferrocarril,2017,243.734,Subtotal nacional,87.873.636,126.750.544
Dióxido de carbono,Nacional,Ferrocarril,2018,251.622,Subtotal nacional,89.068.094,129.918.991
Dióxido de carbono,Nacional,Ferrocarril,2019,245.368,Subtotal nacional,90.170.016,132.077.499
Dióxido de carbono,Nacional,Aéreo,2012,2.811.511,Subtotal nacional,78.283.356,118.623.226
Dióxido de carbono,Nacional,Aéreo,2013,2.402.452,Subtotal nacional,79.066.571,115.751.029
Dióxido de carbono,Nacional,Aéreo,2014,2.387.523,Subtotal nacional,79.348.118,118.484.198
Dióxido de carbono,Nacional,Aéreo,2015,2.486.965,Subtotal nacional,82.453.282,120.927.707
Dióxido de carbono,Nacional,Aéreo,2016,2.679.509,Subtotal nacional,85.255.571,125.597.390
Dióxido de carbono,Nacional,Aéreo,2017,2.803.800,Subtotal nacional,87.873.636,126.750.544
Dióxido de carbono,Nacional,Aéreo,2018,3.024.587,Subtotal nacional,89.068.094,129.918.991
Dióxido de carbono,Nacional,Aéreo,2019,3.127.059,Subtotal nacional,90.170.016,132.077.499
Dióxido de carbono,Nacional,Marítimo,2012,2.658.107,Subtotal nacional,78.283.356,118.623.226
Dióxido de carbono,Nacional,Marítimo,2013,1.586.593,Subtotal nacional,79.066.571,115.751.029
Dióxido de carbono,Nacional,Marítimo,2014,1.011.039,Subtotal nacional,79.348.118,118.484.198
Dióxido de carbono,Nacional,Marítimo,2015,1.340.706,Subtotal nacional,82.453.282,120.927.707
Dióxido de carbono,Nacional,Marítimo,2016,1.904.479,Subtotal nacional,85.255.571,125.597.390
Dióxido de carbono,Nacional,Marítimo,2017,3.034.920,Subtotal nacional,87.873.636,126.750.544
Dióxido de carbono,Nacional,Marítimo,2018,3.128.590,Subtotal nacional,89.068.094,129.918.991
Dióxido de carbono,Nacional,Marítimo,2019,3.284.029,Subtotal nacional,90.170.016,132.077.499
Dióxido de carbono,Internacional,Aéreo,2012,13.318.442,Subtotal internacional,40.339.870,118.623.226
Dióxido de carbono,Internacional,Aéreo,2013,13.438.300,Subtotal internacional,36.684.458,115.751.029
Dióxido de carbono,Internacional,Aéreo,2014,14.013.741,Subtotal internacional,39.136.080,118.484.198
Dióxido de carbono,Internacional,Aéreo,2015,14.534.651,Subtotal internacional,38.474.425,120.927.707
Dióxido de carbono,Internacional,Aéreo,2016,16.183.680,Subtotal internacional,40.341.819,125.597.390
Dióxido de carbono,Internacional,Aéreo,2017,17.412.079,Subtotal internacional,38.876.908,126.750.544
Dióxido de carbono,Internacional,Aéreo,2018,18.342.936,Subtotal internacional,40.850.897,129.918.991
Dióxido de carbono,Internacional,Aéreo,2019,18.984.481,Subtotal internacional,41.907.483,132.077.499
Dióxido de carbono,Internacional,Marítimo,2012,27.021.428,Subtotal internacional,40.339.870,118.623.226
Dióxido de carbono,Internacional,Marítimo,2013,23.246.158,Subtotal internacional,36.684.458,115.751.029
Dióxido de carbono,Internacional,Marítimo,2014,25.122.339,Subtotal internacional,39.136.080,118.484.198
Dióxido de carbono,Internacional,Marítimo,2015,23.939.775,Subtotal internacional,38.474.425,120.927.707
Dióxido de carbono,Internacional,Marítimo,2016,24.158.139,Subtotal internacional,40.341.819,125.597.390
Dióxido de carbono,Internacional,Marítimo,2017,21.464.829,Subtotal internacional,38.876.908,126.750.544
Dióxido de carbono,Internacional,Marítimo,2018,22.507.961,Subtotal internacional,40.850.897,129.918.991
Dióxido de carbono,Internacional,Marítimo,2019,22.923.002,Subtotal internacional,41.907.483,132.077.499
Metano,Nacional,Carretera,2012,3.792,Subtotal nacional,4.098,6.637
Metano,Nacional,Carretera,2013,3.402,Subtotal nacional,3.599,5.797
Metano,Nacional,Carretera,2014,3.283,Subtotal nacional,3.427,5.798
Metano,Nacional,Carretera,2015,3.157,Subtotal nacional,3.333,5.606
Metano,Nacional,Carretera,2016,3.228,Subtotal nacional,3.458,5.760
Metano,Nacional,Carretera,2017,3.224,Subtotal nacional,3.560,5.621
Metano,Nacional,Carretera,2018,3.319,Subtotal nacional,3.668,5.829
Metano,Nacional,Carretera,2019,3.413,Subtotal nacional,3.776,5.981
