year,TRIM1,TRIM2,TRIM2,TRIM4,TOTAL_ANUAL
2004,14884499,16030064,17342262,16417313,64674138
2005,15277812,17022099,17536394,16449144,66285449
2006,15482824,17226907,17521346,16784041,67015118
2007,16041676,16838575,17245232,16405359,66530842
2008,15982138,16512184,16827826,15639985,64962133
2009,13754202,10721563,11639071,9496389,45611225
2010,8505843,9589472,9363521,8707990,36166826
2011,8024538,8417457,9694093,8542292,34678380
2012,7688624,8067958,8765130,7627731,32149443
2013,7183672,7757104,8427073,7488820,30856669
2014,6643363,7525127,8168311,7041068,29377869
2015,6288846,7208101,7981199,7072011,28550157
2016,6501974,6914064,7863032,6991192,28270262
2017,6587831,7271152,7844871,7133621,28837475
2018,6695378,7266146,8295529,7422587,29679640
2019,7140635,7813101,8474171,7455477,30883384
