DIA,viajeros,Fecha,Total de viajeros
2017-11-01,193,2017,9785430
2017-11-02,207,2017,9785430
2017-11-03,697,2017,9785430
2017-11-04,250,2017,9785430
2017-11-05,634,2017,9785430
2017-11-06,216,2017,9785430
2017-11-07,105,2017,9785430
2017-11-08,213,2017,9785430
2017-11-09,286,2017,9785430
2017-11-10,755,2017,9785430
2017-11-11,261,2017,9785430
2017-11-12,639,2017,9785430
2017-11-13,215,2017,9785430
2017-11-14,118,2017,9785430
2017-11-15,148,2017,9785430
2017-11-16,246,2017,9785430
2017-11-17,841,2017,9785430
2017-11-18,233,2017,9785430
2017-11-19,585,2017,9785430
2017-11-20,211,2017,9785430
2017-11-21,138,2017,9785430
2017-11-22,138,2017,9785430
2017-11-23,211,2017,9785430
2017-11-24,819,2017,9785430
2017-11-25,273,2017,9785430
2017-11-26,583,2017,9785430
2017-11-27,193,2017,9785430
2017-11-28,144,2017,9785430
2017-11-29,112,2017,9785430
2017-11-30,191,2017,9785430
2017-12-01,693,2017,9785430
2017-12-02,240,2017,9785430
2017-12-03,443,2017,9785430
2017-12-04,183,2017,9785430
2017-12-05,592,2017,9785430
2017-12-06,470,2017,9785430
2017-12-07,446,2017,9785430
2017-12-08,381,2017,9785430
2017-12-09,230,2017,9785430
2017-12-10,822,2017,9785430
2017-12-11,238,2017,9785430
2017-12-12,139,2017,9785430
2017-12-13,111,2017,9785430
2017-12-14,180,2017,9785430
2017-12-15,534,2017,9785430
2017-12-16,234,2017,9785430
2017-12-17,427,2017,9785430
2017-12-18,178,2017,9785430
2017-12-19,129,2017,9785430
2017-12-20,192,2017,9785430
2017-12-21,295,2017,9785430
2017-12-22,810,2017,9785430
2017-12-23,700,2017,9785430
2017-12-24,316,2017,9785430
2017-12-25,369,2017,9785430
2017-12-26,334,2017,9785430
2017-12-27,210,2017,9785430
2017-12-28,269,2017,9785430
2017-12-29,455,2017,9785430
2017-12-30,367,2017,9785430
2017-12-31,299,2017,9785430
2018-01-01,392,2018,10781572
2018-01-02,294,2018,10781572
