ciudad,pais,lat,lon
Fuente-Álamo,España,38.69322,-1.431773
Feucht,Germany,49.3758,11.2131
Sarzana,Italy,44.1136,9.96
Brandýs nad Labem-Stará Boleslav,Czechia,50.1872,14.6633
Vilanova d'Escornalbou,España,41.11419,0.9367994
Valderrábano,España,42.60603,-4.654995
Gerena,España,37.52553,-6.157654
Küttigen,Switzerland,47.4164,8.05
Saint-Genis-Pouilly,France,46.2433,6.0214
Périgneux,Francia,45.4419832,4.1555711
Yuncler,España,40.04062,-3.903411
Cabezarados,España,38.84591,-4.297102
Mantes-la-Jolie,France,48.9908,1.7172
Busto Garolfo,Italy,45.5478,8.8867
Saint-Priest-la-Roche,Francia,45.9135756,4.0932561
Digoin,France,46.4819,3.9806
Quintanar del Rey,España,39.34257,-1.929375
Écouflant,Francia,47.5315221,-0.5301394
Ansó,España,42.75754,-0.8281171
Padern,Francia,42.8673018,2.6580183
Ségny,Francia,46.2964559,6.0738412
Orihuela del Tremedal,España,40.55058,-1.649716
Orrios,España,40.58663,-0.9876969
Yviers,Francia,45.2741349,-0.0062444
Lanvollon,Francia,48.6319377,-2.9862361
Villaselán,España,42.56092,-5.047582
Bizanos,Francia,43.2887961,-0.3531403
Cléguérec,Francia,48.1244286,-3.0700203
Val do Dubra,España,43.0225,-8.638333
Oppède,Francia,43.8451144,5.168989
Finale Ligure,Italy,44.1691,8.3435
Le Quesnoy,Francia,50.2473417,3.6364504
La Chavanne,Francia,45.4949929,6.072883
Maruéjols-lès-Gardon,Francia,44.0058,4.13274
Barsinghausen,Germany,52.3031,9.4606
Oer-Erkenschwick,Germany,51.6422,7.2508
Domont,France,49.0275,2.3267
Roques,Francia,43.5109039,1.3755068
la Vansa i Fórnols,España,42.243211349999996,1.4719326197608285
Murol,Francia,45.5738254,2.9426341
Oímbra,España,41.88543,-7.47204
Spoleto,Italy,42.7333,12.7333
Tormón,España,40.20275,-1.353761
Saint-Maixent-l'École,Francia,46.4096855,-0.2019344
gmina Szamotuly,Polonia,52.592598699999996,16.581035796970085
La Verdière,Francia,43.6379633,5.9348456
Privezac,Francia,44.4125,2.18738
Vila Velha de Ródão,Portugal,39.6545418,-7.6723114
Vals-près-le-Puy,Francia,45.0300955,3.8757116
Champagné,Francia,48.0168,0.33179
Folgoso de la Ribera,España,42.64359,-6.319312
Quintanilla de Arriba,España,41.62019,-4.215496
Estollo,España,42.32934,-2.850387
Aiguamúrcia,España,41.33018,1.359454
Exireuil,Francia,46.4330374,-0.1918386
Campbon,Francia,47.4128164,-1.9693613
Schweindorf,Alemania,48.7842929,10.4140154
Gavirate,Italy,45.85,8.7167
Bellaffaire,Francia,44.4194056,6.1767609
Dillingen a.d.Donau,Alemania,48.5812547,10.4951425
Marin,Estados Unidos de América,38.0409144,-122.6199638
Meyreuil,France,43.4861,5.4956
Navares de Enmedio,España,41.38144,-3.722878
Quintana Redonda,España,41.64019,-2.615314
La Ferrière-aux-Étangs,Francia,48.6624738,-0.5183172
Fos-sur-Mer,France,43.4544,4.9436
Alhaurín de la Torre,España,36.66836,-4.552967
Villa del Prado,España,40.27678,-4.305642
Heerlen,Netherlands,50.8833,5.9833
Zoeterwoude,Netherlands,52.1136,4.5058
Montijo,España,38.90995,-6.617333
Fontpédrouse,Francia,42.5111567,2.1775922
Rotherwick,Reino Unido,51.29891265,-0.9724949233030722
Francs,Francia,44.9466032,-0.0057663
Fégréac,Francia,47.5848288,-2.0444369
Campo Maior,Brazil,-4.8278,-42.1689
Illkirch-Graffenstaden,France,48.53,7.72
San Cristovo de Cea,España,42.4728,-7.985322
Villars,France,45.4689,4.3544
Cabezuela,España,41.23514,-3.933327
Cap-d'Ail,Francia,43.7230453,7.3969373
Bessé-sur-Braye,Francia,47.8346552,0.7525544
Crest,France,44.7283,5.0222
Thorigné,Francia,46.28241585,-0.25521076094997297
Clairac,Francia,44.3601017,0.375571
Claye-Souilly,France,48.945,2.6867
Vilaboa,España,42.34724,-8.646326
Gières,France,45.1819,5.7919
Pompey,United States,42.9229,-75.9803
Parma,Italy,44.8015,10.328
Loubajac,Francia,43.134443,-0.080273
Colmar,France,48.0817,7.3556
Villefranche-d'Albigeois,Francia,43.8974,2.32982
Líne,Chequia,49.6947189,13.2569297
Darmstadt,Germany,49.8667,8.65
Canéjan,France,44.7631,-0.6547
Bergondo,España,43.31667,-8.233334
Montbron,Francia,45.6664226,0.4994516
Chénérailles,Francia,46.1119429,2.1763417
Garennes-sur-Eure,Francia,48.9109977,1.4368217
Fuencaliente de la Palma,España,28.4885,-17.84942
Follonica,Italy,42.9189,10.7614
Fontenilles,France,43.5531,1.1911
Thomery,Francia,48.4090286,2.784838
Distré,Francia,47.222937,-0.1110147
